satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,department,salary
excellent,excellent,low,159,2,no,no,no,sales,medium
assez bien,bien,medium,163,6,no,no,no,sales,high
excellent,bien,low,158,2,yes,no,no,sales,low
excellent,excellent,low,194,3,no,no,no,sales,medium
bien,excellent,low,267,3,yes,no,no,sales,medium
bien,tres bien,low,183,2,no,no,no,sales,medium
tres bien,tres bien,low,174,2,no,no,no,accounting,medium
excellent,tres bien,medium,240,3,no,no,no,accounting,low
bien,bien,low,123,4,yes,no,no,accounting,low
excellent,bien,medium,174,3,no,no,no,hr,low
tres bien,excellent,medium,246,3,no,no,no,hr,low
tres bien,excellent,medium,173,2,no,no,no,hr,low
passable,excellent,medium,185,5,no,no,no,hr,low
excellent,excellent,medium,259,3,yes,no,no,technical,low
tres bien,excellent,low,112,4,yes,no,no,technical,low
excellent,bien,medium,219,2,no,no,no,technical,medium
tres bien,tres bien,low,258,2,no,no,no,technical,medium
tres bien,excellent,medium,287,3,no,no,no,technical,medium
excellent,assez bien,medium,186,2,no,no,no,technical,medium
assez bien,tres bien,low,159,4,no,no,no,technical,medium
tres bien,bien,medium,230,3,no,no,no,technical,medium
excellent,tres bien,medium,106,5,no,no,no,technical,medium
tres bien,tres bien,medium,189,3,no,no,no,technical,medium
tres bien,excellent,low,252,3,no,no,no,technical,medium
bien,tres bien,medium,220,2,no,no,no,support,medium
bien,excellent,medium,218,3,no,no,no,support,medium
tres bien,excellent,medium,145,4,no,no,no,support,medium
bien,excellent,medium,142,3,yes,no,no,support,medium
tres bien,tres bien,low,218,2,no,no,no,support,medium
tres bien,tres bien,medium,157,4,no,no,no,support,medium
excellent,bien,medium,178,3,no,no,no,support,medium
excellent,bien,medium,241,6,no,no,no,support,medium
tres bien,excellent,low,230,3,no,no,no,support,medium
excellent,tres bien,medium,249,3,no,no,no,support,medium
excellent,tres bien,medium,147,2,no,no,no,support,medium
bien,excellent,medium,115,3,no,no,no,technical,medium
excellent,excellent,medium,143,3,no,no,no,technical,medium
excellent,excellent,medium,219,3,no,no,no,technical,medium
bien,tres bien,medium,218,2,no,no,no,management,medium
tres bien,tres bien,medium,235,2,no,no,no,IT,medium
bien,tres bien,medium,237,3,no,no,no,IT,high
bien,bien,medium,186,2,no,no,no,IT,high
bien,tres bien,medium,177,2,no,no,no,IT,high
excellent,excellent,medium,228,4,no,no,no,IT,high
tres bien,bien,low,204,3,no,no,no,product_mng,high
excellent,tres bien,medium,210,3,no,no,no,product_mng,high
excellent,excellent,medium,250,2,yes,no,no,product_mng,high
passable,bien,medium,185,6,no,no,no,product_mng,high
bien,tres bien,low,146,3,no,no,no,IT,high
tres bien,bien,low,217,2,no,no,no,RandD,high
passable,tres bien,high,172,6,no,no,no,RandD,high
bien,excellent,low,184,2,no,no,no,RandD,high
tres bien,excellent,low,148,3,no,no,no,RandD,low
assez bien,bien,medium,236,4,no,no,no,RandD,low
bien,assez bien,low,280,2,no,no,no,marketing,low
bien,tres bien,low,218,3,no,no,no,sales,low
excellent,excellent,medium,155,3,no,no,no,accounting,low
excellent,tres bien,medium,242,4,no,no,no,support,low
tres bien,excellent,low,166,5,no,no,no,technical,low
bien,excellent,medium,175,3,yes,no,no,management,low
bien,excellent,medium,234,3,no,no,no,marketing,low
excellent,excellent,medium,232,3,no,no,no,marketing,low
excellent,excellent,medium,156,3,yes,no,no,marketing,low
assez bien,tres bien,medium,248,3,no,no,no,sales,low
excellent,tres bien,medium,218,2,no,no,no,sales,low
bien,excellent,medium,251,2,yes,no,no,sales,low
bien,excellent,medium,173,4,no,no,no,sales,low
tres bien,bien,medium,157,3,yes,no,no,sales,medium
tres bien,bien,low,274,3,no,no,no,sales,medium
tres bien,tres bien,medium,182,3,no,no,no,sales,medium
tres bien,tres bien,medium,233,2,no,no,no,sales,medium
tres bien,excellent,medium,249,3,no,no,no,sales,medium
bien,excellent,low,162,3,yes,no,no,sales,medium
excellent,tres bien,low,184,3,no,no,no,sales,medium
tres bien,tres bien,low,135,2,no,no,no,sales,medium
bien,bien,low,143,2,no,no,no,sales,medium
passable,excellent,medium,203,5,no,no,no,sales,medium
excellent,bien,medium,143,4,no,no,no,sales,medium
excellent,bien,low,142,3,yes,no,no,sales,medium
excellent,excellent,medium,171,2,no,no,no,sales,high
excellent,excellent,low,223,4,no,no,no,sales,high
bien,excellent,medium,148,3,no,no,no,sales,high
excellent,tres bien,high,140,2,no,no,no,accounting,high
excellent,tres bien,medium,226,2,no,no,no,accounting,high
passable,excellent,medium,183,5,no,no,no,accounting,high
excellent,excellent,medium,135,3,no,no,no,hr,high
excellent,tres bien,low,236,2,no,no,no,hr,high
excellent,tres bien,medium,257,2,no,no,no,hr,low
excellent,tres bien,low,155,3,no,no,no,hr,low
excellent,tres bien,low,211,4,no,no,no,technical,low
excellent,excellent,low,207,2,no,no,no,technical,low
tres bien,excellent,low,126,6,no,no,no,technical,low
bien,excellent,low,267,2,no,no,no,technical,low
bien,assez bien,high,226,2,no,no,no,technical,low
assez bien,excellent,low,239,2,no,no,no,technical,low
tres bien,tres bien,low,202,2,no,no,no,technical,medium
tres bien,tres bien,low,150,2,yes,no,no,technical,medium
passable,tres bien,medium,156,6,no,no,no,technical,medium
bien,tres bien,low,233,3,no,no,no,technical,medium
tres bien,bien,medium,262,2,no,no,no,technical,medium
excellent,tres bien,low,183,3,no,no,no,support,medium
excellent,tres bien,medium,225,2,no,no,no,support,medium
bien,bien,medium,216,3,no,no,no,support,medium
bien,bien,medium,227,3,no,no,no,support,medium
excellent,bien,medium,242,2,no,no,no,support,medium
tres bien,tres bien,medium,224,3,no,no,no,support,medium
bien,tres bien,low,223,3,yes,no,no,support,medium
tres bien,bien,low,202,2,no,no,no,support,medium
bien,tres bien,low,220,3,no,no,no,support,medium
excellent,excellent,medium,129,5,no,no,no,support,medium
tres bien,tres bien,low,193,5,no,no,no,support,medium
bien,tres bien,low,165,2,no,no,no,technical,medium
bien,tres bien,medium,209,2,no,no,no,technical,medium
tres bien,excellent,medium,183,2,yes,no,no,technical,medium
tres bien,bien,medium,138,3,no,no,no,management,medium
excellent,tres bien,medium,152,3,no,no,no,IT,medium
tres bien,tres bien,medium,170,2,no,no,no,IT,medium
tres bien,excellent,medium,185,3,no,no,no,IT,medium
excellent,bien,low,249,2,no,no,no,IT,high
bien,bien,medium,155,3,no,no,no,IT,low
bien,bien,low,204,4,no,no,no,product_mng,medium
bien,bien,medium,188,4,no,no,no,product_mng,medium
excellent,bien,medium,264,4,no,no,no,product_mng,medium
tres bien,excellent,medium,146,2,no,no,no,product_mng,medium
excellent,tres bien,medium,212,4,no,no,no,IT,medium
excellent,bien,low,215,3,no,no,no,RandD,medium
tres bien,excellent,medium,239,3,no,no,no,RandD,medium
tres bien,bien,low,188,3,no,no,no,RandD,medium
excellent,bien,medium,259,3,no,no,no,RandD,medium
bien,tres bien,low,200,3,yes,no,no,RandD,medium
tres bien,excellent,low,245,2,no,no,no,marketing,low
bien,tres bien,low,182,2,no,no,no,sales,low
excellent,bien,medium,181,2,no,no,no,accounting,low
bien,bien,low,164,3,no,no,no,support,low
excellent,excellent,medium,257,3,no,no,no,technical,low
excellent,excellent,low,178,3,no,no,no,management,low
bien,bien,medium,224,3,no,no,no,marketing,low
excellent,tres bien,medium,170,3,no,no,no,marketing,high
bien,tres bien,medium,233,2,no,no,no,marketing,low
assez bien,bien,medium,239,3,no,no,no,sales,high
bien,bien,medium,185,2,no,no,no,sales,high
bien,bien,medium,184,3,no,no,no,sales,low
bien,tres bien,low,188,2,no,no,no,sales,low
tres bien,excellent,low,186,3,yes,no,no,sales,high
tres bien,tres bien,low,226,3,no,no,no,sales,low
tres bien,tres bien,low,143,6,no,no,no,sales,medium
bien,excellent,low,213,3,no,no,no,sales,high
tres bien,bien,low,217,2,no,no,no,sales,medium
tres bien,tres bien,medium,190,2,no,no,no,sales,medium
bien,tres bien,low,147,2,no,no,no,sales,medium
tres bien,tres bien,low,235,3,yes,no,no,sales,medium
assez bien,tres bien,high,136,3,no,no,no,sales,high
excellent,bien,medium,261,2,no,no,no,sales,medium
bien,tres bien,high,176,4,no,no,no,sales,medium
tres bien,tres bien,medium,212,4,no,no,no,sales,medium
tres bien,bien,low,148,3,no,no,no,sales,high
bien,tres bien,high,218,6,no,no,no,sales,medium
bien,excellent,high,262,6,no,no,no,sales,high
tres bien,bien,high,145,3,no,no,no,accounting,low
excellent,tres bien,low,230,4,yes,no,no,accounting,medium
excellent,tres bien,medium,210,2,no,no,no,accounting,medium
bien,tres bien,medium,227,3,no,no,no,hr,medium
tres bien,tres bien,medium,142,2,no,no,no,hr,medium
bien,excellent,medium,171,2,no,no,no,hr,low
tres bien,excellent,low,241,3,no,no,no,hr,low
tres bien,excellent,low,247,2,yes,no,no,technical,low
bien,excellent,medium,246,3,no,no,no,technical,low
bien,tres bien,low,188,3,yes,no,no,technical,low
assez bien,tres bien,low,104,2,no,no,no,technical,low
excellent,tres bien,medium,197,4,yes,no,no,technical,low
excellent,excellent,medium,191,4,no,no,no,technical,low
excellent,bien,medium,173,2,no,no,no,technical,low
excellent,excellent,low,207,4,yes,no,no,technical,low
bien,bien,medium,247,4,no,no,no,technical,high
excellent,excellent,medium,197,5,yes,no,no,technical,low
bien,excellent,low,242,2,no,no,no,technical,low
tres bien,bien,low,145,2,no,no,no,support,low
excellent,excellent,medium,174,3,no,no,no,support,low
excellent,excellent,low,195,2,no,no,no,support,high
excellent,excellent,medium,270,3,yes,no,no,support,low
tres bien,tres bien,medium,238,3,no,no,no,support,low
tres bien,excellent,medium,156,2,no,no,no,support,low
excellent,excellent,medium,261,3,no,no,no,support,high
tres bien,excellent,medium,135,2,no,no,no,support,low
excellent,bien,high,185,4,no,no,no,support,medium
bien,bien,low,197,3,no,no,no,support,high
bien,excellent,low,241,3,no,no,no,support,medium
excellent,excellent,low,263,3,yes,no,no,technical,high
excellent,bien,medium,251,2,no,no,no,technical,medium
tres bien,excellent,low,218,2,no,no,no,technical,medium
excellent,bien,medium,183,3,no,no,no,management,medium
tres bien,excellent,medium,252,3,no,no,no,IT,medium
tres bien,excellent,low,98,3,no,no,no,IT,medium
passable,tres bien,high,284,4,no,no,no,IT,medium
tres bien,tres bien,medium,220,2,no,no,no,IT,medium
bien,assez bien,medium,275,3,no,no,no,IT,medium
excellent,excellent,medium,164,3,no,no,no,product_mng,high
excellent,tres bien,medium,237,4,no,no,no,product_mng,low
excellent,excellent,low,133,3,no,no,no,product_mng,medium
tres bien,bien,medium,256,4,no,no,no,product_mng,medium
excellent,excellent,medium,270,3,no,no,no,IT,medium
bien,excellent,medium,196,2,no,no,no,RandD,medium
excellent,excellent,medium,209,2,no,no,no,RandD,medium
tres bien,assez bien,low,261,3,no,no,no,RandD,medium
tres bien,tres bien,low,221,2,no,no,no,RandD,medium
tres bien,tres bien,medium,180,3,yes,no,no,RandD,medium
excellent,bien,medium,145,3,no,no,no,marketing,medium
tres bien,excellent,medium,111,2,no,no,no,sales,high
bien,tres bien,medium,232,3,no,no,no,accounting,low
excellent,tres bien,medium,195,3,no,no,no,support,low
excellent,bien,medium,211,2,yes,no,no,technical,low
tres bien,tres bien,medium,194,2,no,no,no,management,high
passable,excellent,medium,275,5,no,no,no,marketing,low
bien,bien,low,140,3,no,no,no,marketing,low
tres bien,tres bien,low,157,3,no,no,no,marketing,low
excellent,excellent,medium,258,3,no,no,no,sales,high
excellent,excellent,medium,273,4,no,no,no,sales,low
tres bien,bien,low,135,2,no,no,no,sales,low
tres bien,excellent,low,188,4,no,no,no,sales,low
excellent,bien,medium,222,2,no,no,no,sales,low
excellent,bien,medium,231,3,no,no,no,sales,low
excellent,excellent,low,255,2,no,no,no,sales,low
tres bien,bien,low,254,2,no,no,no,sales,low
excellent,excellent,low,244,3,yes,no,no,sales,medium
excellent,excellent,low,132,4,no,no,no,sales,medium
passable,tres bien,medium,234,6,no,no,no,sales,medium
excellent,excellent,medium,272,3,no,no,no,sales,medium
excellent,bien,medium,191,3,no,no,no,sales,medium
tres bien,excellent,medium,238,4,no,no,no,sales,medium
bien,tres bien,low,225,2,no,no,no,sales,medium
excellent,excellent,low,211,2,no,no,no,sales,medium
bien,excellent,low,217,3,no,no,no,sales,medium
excellent,excellent,medium,156,4,no,no,no,sales,medium
tres bien,bien,low,147,3,no,no,no,sales,medium
bien,tres bien,medium,134,3,no,no,no,accounting,medium
excellent,tres bien,medium,235,2,yes,no,no,accounting,high
excellent,tres bien,medium,238,4,no,no,no,accounting,low
bien,tres bien,low,258,4,no,no,no,hr,medium
tres bien,bien,medium,224,3,no,no,no,hr,medium
excellent,bien,medium,149,2,no,no,no,hr,medium
excellent,tres bien,medium,219,2,yes,no,no,hr,medium
tres bien,bien,low,186,2,no,no,no,technical,low
excellent,tres bien,medium,259,4,no,no,no,technical,low
assez bien,tres bien,low,119,2,no,no,no,technical,low
bien,excellent,low,223,2,no,no,no,technical,low
tres bien,bien,medium,184,3,no,no,no,technical,low
tres bien,bien,low,238,4,no,no,no,technical,low
passable,excellent,medium,157,5,yes,no,no,technical,low
excellent,tres bien,low,249,3,no,no,no,technical,low
tres bien,excellent,medium,195,2,no,no,no,technical,low
bien,tres bien,low,162,2,no,no,no,technical,low
tres bien,excellent,medium,231,3,no,no,no,technical,low
tres bien,excellent,low,264,3,no,no,no,support,low
tres bien,excellent,low,210,3,no,no,no,support,low
tres bien,tres bien,medium,192,3,no,no,no,support,low
bien,bien,low,192,2,no,no,no,support,low
bien,tres bien,medium,249,3,no,no,no,support,low
bien,excellent,medium,206,3,no,no,no,support,low
assez bien,tres bien,medium,165,5,no,no,no,support,low
bien,excellent,medium,183,3,no,no,no,support,low
excellent,tres bien,medium,253,2,no,no,no,support,low
excellent,excellent,low,256,3,no,no,no,support,low
tres bien,excellent,low,263,4,no,no,no,support,medium
tres bien,tres bien,low,234,3,yes,no,no,technical,medium
excellent,excellent,high,223,2,no,no,no,technical,medium
tres bien,tres bien,low,172,3,no,no,no,technical,medium
assez bien,bien,high,226,6,no,no,no,management,medium
tres bien,bien,high,205,4,yes,no,no,IT,medium
bien,bien,medium,235,2,no,no,no,IT,medium
bien,bien,medium,263,3,no,no,no,IT,medium
excellent,tres bien,medium,271,3,yes,no,no,IT,medium
tres bien,tres bien,high,131,5,no,no,no,IT,medium
tres bien,bien,medium,238,4,no,no,no,product_mng,medium
excellent,bien,low,214,2,no,no,no,product_mng,medium
excellent,excellent,low,267,3,no,no,no,product_mng,high
tres bien,bien,low,184,2,no,no,no,product_mng,low
tres bien,tres bien,low,264,3,no,no,no,IT,medium
bien,tres bien,low,109,2,no,no,no,RandD,medium
tres bien,tres bien,low,253,4,yes,no,no,RandD,medium
tres bien,bien,medium,207,2,yes,no,no,RandD,medium
bien,tres bien,medium,263,5,no,no,no,RandD,low
excellent,excellent,low,214,2,yes,no,no,RandD,low
tres bien,tres bien,low,153,3,no,no,no,marketing,low
assez bien,bien,medium,123,5,yes,no,no,sales,low
passable,assez bien,medium,159,2,no,no,no,accounting,low
excellent,excellent,low,185,3,no,no,no,support,low
tres bien,tres bien,medium,167,3,yes,no,no,technical,low
excellent,tres bien,low,271,3,no,no,no,management,low
excellent,tres bien,low,140,3,no,no,no,marketing,low
bien,tres bien,medium,141,3,no,no,no,marketing,low
excellent,excellent,medium,190,2,no,no,no,marketing,low
tres bien,tres bien,medium,134,2,no,no,no,sales,low
excellent,tres bien,medium,176,4,no,no,no,sales,low
tres bien,tres bien,medium,194,2,no,no,no,sales,low
tres bien,bien,medium,212,4,no,no,no,sales,low
bien,tres bien,medium,234,3,yes,no,no,sales,low
excellent,excellent,medium,190,2,no,no,no,sales,low
excellent,assez bien,medium,155,3,no,no,no,sales,low
excellent,bien,medium,232,2,no,no,no,sales,low
tres bien,excellent,medium,216,3,no,no,no,sales,low
tres bien,excellent,low,207,3,no,no,no,sales,low
excellent,excellent,medium,200,4,no,no,no,sales,medium
excellent,excellent,low,178,4,no,no,no,sales,medium
bien,excellent,medium,173,2,no,no,no,sales,medium
assez bien,excellent,medium,268,5,no,no,no,sales,medium
excellent,bien,high,212,2,no,no,no,sales,medium
tres bien,bien,medium,216,3,no,no,no,sales,medium
tres bien,tres bien,medium,212,6,no,no,no,sales,medium
tres bien,bien,low,155,3,yes,no,no,sales,medium
tres bien,tres bien,medium,164,2,no,no,no,sales,medium
excellent,tres bien,low,209,3,no,no,no,accounting,medium
tres bien,tres bien,medium,136,3,no,no,no,accounting,medium
bien,excellent,medium,223,3,no,no,no,accounting,medium
bien,excellent,medium,239,4,no,no,no,hr,high
excellent,excellent,low,205,4,no,no,no,hr,low
excellent,tres bien,low,203,3,no,no,no,hr,medium
excellent,tres bien,medium,152,4,no,no,no,hr,medium
excellent,tres bien,medium,236,3,yes,no,no,technical,medium
assez bien,tres bien,medium,114,3,no,no,no,technical,medium
excellent,excellent,low,209,2,no,no,no,technical,low
tres bien,bien,medium,178,2,no,no,no,technical,low
passable,excellent,medium,175,5,no,no,no,technical,low
tres bien,tres bien,low,270,4,no,no,no,technical,low
tres bien,bien,low,145,2,yes,no,no,technical,low
excellent,tres bien,medium,134,2,no,no,no,technical,low
tres bien,tres bien,medium,272,4,no,no,no,technical,low
bien,tres bien,low,208,2,no,no,no,technical,low
bien,tres bien,medium,219,3,yes,no,no,technical,low
excellent,bien,medium,154,3,no,no,no,support,low
tres bien,tres bien,low,179,4,no,no,no,support,low
tres bien,excellent,medium,137,2,no,no,no,support,low
tres bien,tres bien,medium,211,2,no,no,no,support,low
excellent,excellent,medium,271,4,no,no,no,support,low
bien,tres bien,medium,192,2,no,no,no,support,low
excellent,tres bien,medium,228,4,no,no,no,support,low
passable,bien,low,267,6,yes,no,no,support,low
tres bien,tres bien,medium,272,2,no,no,no,support,low
excellent,excellent,low,260,2,no,no,no,support,low
tres bien,excellent,medium,161,3,no,no,no,support,low
excellent,excellent,medium,226,2,no,no,no,technical,low
bien,bien,medium,249,4,yes,no,no,technical,medium
tres bien,excellent,low,243,3,no,no,no,technical,medium
excellent,excellent,medium,247,2,no,no,no,management,medium
tres bien,excellent,low,186,2,no,no,no,IT,medium
tres bien,tres bien,low,155,3,no,no,no,IT,medium
tres bien,excellent,low,135,4,no,no,no,IT,medium
excellent,tres bien,medium,198,4,no,no,no,IT,medium
tres bien,bien,low,175,2,no,no,no,IT,medium
tres bien,excellent,low,192,3,no,no,no,product_mng,medium
tres bien,assez bien,low,282,3,no,no,no,product_mng,medium
excellent,tres bien,medium,179,3,no,no,no,product_mng,medium
bien,tres bien,medium,245,3,no,no,no,product_mng,medium
excellent,tres bien,medium,235,3,no,no,no,IT,high
bien,bien,medium,266,2,no,no,no,RandD,low
assez bien,bien,medium,269,4,yes,no,no,RandD,medium
tres bien,tres bien,low,264,2,no,no,no,RandD,medium
tres bien,bien,low,161,2,yes,no,no,RandD,medium
excellent,excellent,low,203,3,no,no,no,RandD,medium
excellent,excellent,medium,258,2,no,no,no,marketing,low
tres bien,excellent,low,143,3,no,no,no,sales,low
bien,excellent,low,214,3,no,no,no,accounting,low
bien,tres bien,medium,166,3,yes,no,no,support,low
bien,excellent,low,192,3,no,no,no,technical,low
passable,excellent,low,185,4,yes,no,no,management,low
excellent,excellent,medium,173,3,no,no,no,marketing,low
bien,excellent,low,163,3,no,no,no,marketing,low
passable,tres bien,medium,277,4,no,no,no,marketing,low
tres bien,excellent,medium,274,2,yes,no,no,sales,low
bien,bien,low,119,2,no,no,no,sales,low
tres bien,tres bien,medium,267,3,no,no,no,sales,low
tres bien,excellent,low,160,2,no,no,no,sales,low
excellent,excellent,medium,198,2,no,no,no,sales,low
excellent,tres bien,low,193,3,no,no,no,sales,low
tres bien,excellent,high,250,2,no,no,no,sales,low
excellent,excellent,low,237,4,yes,no,no,sales,low
bien,excellent,medium,170,2,no,no,no,sales,low
bien,tres bien,low,157,2,yes,no,no,sales,medium
bien,excellent,high,267,4,no,no,no,sales,medium
tres bien,tres bien,medium,192,4,no,no,no,sales,medium
excellent,tres bien,medium,218,2,yes,no,no,sales,medium
bien,tres bien,medium,210,3,no,no,no,sales,medium
tres bien,bien,medium,229,4,no,no,no,sales,medium
bien,tres bien,low,186,3,no,no,no,sales,medium
excellent,bien,low,234,2,yes,no,no,sales,medium
passable,excellent,low,149,5,no,no,no,sales,medium
excellent,excellent,low,205,3,no,no,no,sales,medium
bien,tres bien,low,148,4,no,no,no,accounting,medium
bien,tres bien,medium,270,3,no,no,no,accounting,medium
excellent,tres bien,low,176,3,no,no,no,accounting,high
tres bien,excellent,low,226,2,no,no,no,hr,low
excellent,bien,low,232,4,no,no,no,hr,medium
tres bien,tres bien,low,137,3,no,no,no,hr,medium
assez bien,bien,high,253,3,no,no,no,hr,medium
excellent,tres bien,high,231,4,no,no,no,technical,medium
assez bien,excellent,low,189,6,no,no,no,technical,low
bien,excellent,high,168,2,no,no,no,technical,low
excellent,excellent,low,261,3,no,no,no,technical,low
excellent,bien,medium,152,3,no,no,no,technical,low
excellent,tres bien,medium,263,2,yes,no,no,technical,low
tres bien,tres bien,low,258,3,no,no,no,technical,low
bien,excellent,low,205,3,no,no,no,technical,low
assez bien,tres bien,high,183,2,yes,no,no,technical,low
excellent,excellent,low,153,3,no,no,no,technical,low
tres bien,tres bien,medium,194,4,no,no,no,technical,low
tres bien,tres bien,medium,202,2,no,no,no,support,low
excellent,tres bien,medium,164,4,no,no,no,support,low
excellent,tres bien,low,213,2,no,no,no,support,low
passable,bien,medium,265,6,no,no,no,support,low
passable,excellent,high,218,3,no,no,no,support,low
excellent,bien,medium,286,4,no,no,no,support,low
excellent,tres bien,low,172,3,yes,no,no,support,low
excellent,excellent,medium,251,2,no,no,no,support,low
bien,tres bien,low,110,3,yes,no,no,support,low
tres bien,excellent,low,269,4,no,no,no,support,low
tres bien,tres bien,low,151,3,yes,no,no,support,low
bien,excellent,medium,161,2,no,no,no,technical,medium
excellent,tres bien,medium,210,3,no,no,no,technical,medium
tres bien,excellent,low,167,3,no,no,no,technical,medium
bien,tres bien,low,270,3,yes,no,no,management,medium
excellent,excellent,low,133,3,yes,no,no,IT,medium
excellent,bien,low,249,3,no,no,no,IT,medium
tres bien,tres bien,medium,266,3,no,no,no,IT,medium
assez bien,excellent,medium,276,2,no,no,no,IT,medium
tres bien,assez bien,high,215,3,no,no,no,IT,medium
bien,excellent,low,262,2,no,no,no,product_mng,medium
bien,excellent,medium,193,3,no,no,no,product_mng,medium
tres bien,excellent,low,102,4,no,no,no,product_mng,medium
tres bien,assez bien,medium,278,4,yes,no,no,product_mng,high
tres bien,tres bien,low,250,4,no,no,no,IT,low
bien,excellent,medium,193,4,no,no,no,RandD,medium
tres bien,excellent,low,133,3,no,no,no,RandD,medium
excellent,tres bien,medium,216,4,no,no,no,RandD,medium
tres bien,bien,medium,174,2,yes,no,no,RandD,medium
excellent,tres bien,low,280,4,no,no,no,RandD,low
excellent,excellent,medium,246,2,no,no,no,marketing,low
excellent,bien,low,142,3,no,no,no,sales,low
tres bien,tres bien,medium,144,3,yes,no,no,accounting,low
tres bien,tres bien,high,100,4,yes,no,no,support,low
tres bien,tres bien,medium,212,2,no,no,no,technical,low
excellent,tres bien,medium,201,3,no,no,no,management,low
tres bien,bien,medium,206,2,no,no,no,marketing,low
excellent,tres bien,medium,197,3,no,no,no,marketing,low
assez bien,excellent,medium,232,5,no,no,no,marketing,low
assez bien,excellent,high,272,2,no,no,no,sales,low
bien,bien,medium,173,3,no,no,no,sales,low
tres bien,bien,low,124,2,no,no,no,sales,low
tres bien,excellent,medium,282,4,no,no,no,sales,low
tres bien,excellent,low,219,4,yes,no,no,sales,low
tres bien,bien,low,106,6,no,no,no,sales,low
tres bien,tres bien,medium,192,4,no,no,no,sales,low
excellent,excellent,medium,190,2,no,no,no,sales,low
bien,bien,low,156,2,no,no,no,sales,low
tres bien,tres bien,low,180,2,no,no,no,sales,low
tres bien,excellent,medium,245,2,no,no,no,sales,low
bien,tres bien,low,169,2,no,no,no,sales,medium
tres bien,tres bien,low,188,4,no,no,no,sales,medium
excellent,tres bien,medium,224,2,no,no,no,sales,medium
excellent,tres bien,low,263,2,yes,no,no,sales,medium
excellent,excellent,low,262,2,no,no,no,sales,medium
tres bien,excellent,medium,225,3,no,no,no,sales,medium
tres bien,tres bien,medium,224,3,yes,no,no,sales,medium
tres bien,excellent,low,266,3,no,no,no,sales,medium
excellent,tres bien,low,218,3,yes,no,no,accounting,medium
tres bien,excellent,low,102,3,no,no,no,accounting,medium
tres bien,tres bien,medium,181,3,no,no,no,accounting,medium
assez bien,tres bien,medium,150,5,no,no,no,hr,medium
tres bien,excellent,medium,270,2,no,no,no,hr,high
excellent,bien,medium,270,2,no,no,no,hr,low
tres bien,tres bien,medium,265,3,no,no,no,hr,medium
excellent,excellent,medium,169,3,no,no,no,technical,medium
tres bien,excellent,low,224,4,no,no,no,technical,medium
bien,excellent,low,150,2,yes,no,no,technical,medium
tres bien,tres bien,medium,239,4,no,no,no,technical,low
bien,excellent,low,245,3,yes,no,no,technical,low
tres bien,excellent,low,182,2,yes,no,no,technical,low
passable,tres bien,medium,182,4,no,no,no,technical,low
assez bien,excellent,medium,243,4,no,no,no,technical,low
passable,tres bien,high,209,5,no,no,no,technical,low
excellent,bien,medium,195,4,no,no,no,technical,low
assez bien,bien,low,190,2,no,no,no,technical,low
assez bien,tres bien,low,140,2,no,no,no,support,medium
excellent,bien,medium,147,4,no,no,no,support,medium
bien,excellent,low,265,3,no,no,no,support,medium
tres bien,tres bien,low,238,2,no,no,no,support,medium
bien,excellent,low,155,3,no,no,no,support,medium
bien,bien,medium,132,5,yes,no,no,support,medium
bien,excellent,medium,257,3,no,no,no,support,medium
tres bien,tres bien,low,255,3,no,no,no,support,medium
tres bien,excellent,medium,229,2,no,no,no,support,medium
passable,excellent,medium,216,4,no,no,no,support,medium
excellent,bien,medium,269,4,no,no,no,support,medium
excellent,tres bien,low,205,2,no,no,no,technical,medium
tres bien,excellent,low,151,3,no,no,no,technical,medium
excellent,tres bien,medium,246,3,yes,no,no,technical,medium
tres bien,excellent,medium,256,4,no,no,no,management,medium
excellent,bien,medium,235,3,no,no,no,IT,medium
tres bien,excellent,medium,229,2,no,no,no,IT,medium
tres bien,tres bien,medium,158,3,no,no,no,IT,medium
tres bien,excellent,low,197,3,no,no,no,IT,medium
tres bien,bien,low,151,4,no,no,no,IT,medium
excellent,tres bien,low,167,3,no,no,no,product_mng,medium
assez bien,excellent,medium,146,4,no,no,no,product_mng,medium
tres bien,bien,medium,281,4,no,no,no,product_mng,medium
tres bien,tres bien,low,212,2,no,no,no,product_mng,medium
excellent,bien,medium,261,3,no,no,no,IT,medium
tres bien,excellent,low,238,2,no,no,no,RandD,high
tres bien,tres bien,medium,235,3,no,no,no,RandD,high
assez bien,tres bien,low,107,3,no,no,no,RandD,high
excellent,bien,high,243,4,no,no,no,RandD,high
tres bien,tres bien,medium,233,3,yes,no,no,RandD,high
assez bien,bien,low,206,5,no,no,no,marketing,high
assez bien,tres bien,medium,172,4,no,no,no,sales,high
bien,excellent,low,248,2,no,no,no,accounting,high
excellent,bien,low,147,4,yes,no,no,support,high
tres bien,tres bien,medium,259,3,no,no,no,technical,high
bien,excellent,low,267,3,no,no,no,management,high
tres bien,tres bien,low,263,3,no,no,no,marketing,high
tres bien,excellent,low,160,4,yes,no,no,marketing,low
bien,excellent,medium,176,3,no,no,no,marketing,low
tres bien,tres bien,low,224,3,no,no,no,sales,low
assez bien,tres bien,low,155,2,no,no,no,sales,low
bien,bien,low,132,3,no,no,no,sales,low
tres bien,excellent,medium,173,3,no,no,no,sales,low
tres bien,tres bien,low,165,3,no,no,no,sales,low
